1000 50000
0 806 323
0 113 470
0 520 756
0 634 68
0 954 458
0 12 778
0 335 379
0 24 97
0 896 126
0 183 181
0 228 559
0 310 752
0 850 468
0 831 528
0 286 532
0 553 405
0 322 420
0 429 157
0 92 498
0 738 261
0 836 367
0 493 807
0 149 235
0 329 544
0 226 762
0 700 803
0 642 38
0 265 438
0 816 871
0 108 911
0 557 678
0 483 613
0 658 443
0 650 346
0 233 90
0 195 222
0 495 444
0 127 471
0 807 3
0 317 548
0 943 628
0 884 593
0 501 972
0 133 845
0 101 647
0 786 963
0 907 625
0 606 620
0 584 749
0 978 772
1 878 479
1 343 11
1 159 469
1 584 113
1 27 787
1 640 751
1 905 460
1 840 992
1 54 869
1 861 434
1 396 549
1 124 591
1 897 584
1 305 837
1 834 33
1 166 542
1 736 497
1 596 870
1 859 632
1 14 933
1 817 923
1 277 645
1 871 395
1 389 419
1 245 395
1 844 460
1 94 737
1 866 709
1 152 346
1 16 842
1 351 12
1 530 721
1 656 753
1 615 11
1 89 109
1 757 420
1 480 52
1 575 939
1 455 846
1 967 168
1 646 541
1 353 387
1 442 169
1 306 148
1 491 783
1 549 914
1 85 206
1 17 671
1 673 809
1 55 708
2 946 614
2 210 395
2 930 352
2 569 504
2 801 359
2 360 268
2 587 803
2 219 89
2 660 735
2 151 462
2 817 927
2 903 276
2 339 775
2 184 672
2 349 4
2 775 654
2 702 329
2 19 359
2 960 173
2 542 351
2 925 574
2 171 744
2 58 238
2 785 749
2 593 960
2 85 743
2 257 529
2 117 136
2 609 554
2 26 743
2 535 137
2 47 855
2 205 785
2 882 998
2 237 712
2 297 587
2 750 925
2 890 782
2 499 330
2 615 690
2 104 161
2 152 677
2 189 423
2 625 163
2 515 880
2 300 692
2 181 603
2 862 214
2 236 436
2 574 661
3 58 979
3 625 45
3 497 244
3 437 64
3 649 329
3 878 164
3 564 985
3 443 169
3 302 609
3 591 60
3 159 846
3 734 330
3 442 884
3 679 604
3 865 831
3 766 394
3 187 202
3 903 401
3 103 280
3 4 979
3 38 281
3 508 393
3 630 352
3 169 404
3 652 656
3 59 240
3 532 9
3 20 634
3 948 121
3 253 27
3 460 219
3 263 630
3 290 516
3 369 998
3 11 522
3 458 176
3 593 763
3 342 190
3 857 751
3 340 69
3 219 462
3 136 148
3 25 730
3 689 677
3 919 889
3 439 750
3 123 645
3 522 696
3 745 561
3 571 656
4 42 368
4 466 188
4 595 332
4 647 211
4 491 2
4 324 211
4 226 825
4 972 998
4 166 777
4 274 625
4 598 469
4 33 497
4 150 691
4 36 687
4 872 156
4 350 66
4 675 129
4 399 138
4 518 190
4 790 502
4 545 385
4 204 846
4 139 327
4 662 955
4 96 932
4 563 43
4 770 381
4 8 82
4 590 700
4 839 206
4 251 859
4 603 824
4 560 899
4 84 115
4 733 92
4 89 728
4 793 194
4 228 969
4 25 636
4 748 494
